Date,Site,Count,match,Year
2019-01-17,South Mountain-Ma-Ha-Tuak Perimeter,,South Mountain,2019
2019-01-17,South Mountain-Mormon Trail,362.0,South Mountain,2019
2019-01-17,South Mountain-Pima Dirt Rd. ,706.0,South Mountain,2019
2019-01-17,South Mountain-Pima West Loop,452.0,South Mountain,2019
2019-01-17,South Mountain-Telegraph Pass Trail,221.0,South Mountain,2019
2019-01-18,E - Camelback - Cholla Trail ,,Echo Canyon Camelback Mountain,2019
2019-01-18,E - Camelback - Echo Canyon Trail,1030.0,Echo Canyon Camelback Mountain,2019
2019-01-18,E - PMP - Piestewa Summit Trail,,Piestewa Peak,2019
2019-01-18,N - 25th St. and Acoma-Shadow Mtn N,41.0,Shadow Mountain,2019
2019-01-18,N - Deem Hills - East - 39th Ave TH,118.0,Deem Hills,2019
2019-01-18,N - Deem Hills - West - 51st Ave TH,126.0,Deem Hills,2019
2019-01-18,N - Lookout Mountain - 306 - North Side TH,397.0,Lookout Mountain,2019
2019-01-18,N - North Mountain - 44-Tower Road,0.0,North Mountain Shaw Butte,2019
2019-01-18,South Mountain- Desert Classic Trail,282.0,South Mountain,2019
2019-01-18,South Mountain-620 Trailhead,45.0,South Mountain,2019
2019-01-18,South Mountain-Hau'Pal,,South Mountain,2019
2019-01-18,South Mountain-Holbert Trail,123.0,South Mountain,2019
2019-01-18,South Mountain-Judith Tunell Trail,37.0,South Mountain,2019
2019-01-18,South Mountain-Kiwanis Trail ,,South Mountain,2019
2019-01-18,South Mountain-Ma-Ha-Tuak Perimeter,,South Mountain,2019
2019-01-18,South Mountain-Mormon Trail,479.0,South Mountain,2019
2019-01-18,South Mountain-Pima Dirt Rd. ,779.0,South Mountain,2019
2019-01-18,South Mountain-Pima West Loop,398.0,South Mountain,2019
2019-01-18,South Mountain-Telegraph Pass Trail,238.0,South Mountain,2019
2019-01-19,E - Camelback - Cholla Trail ,,Echo Canyon Camelback Mountain,2019
2019-01-19,E - Camelback - Echo Canyon Trail,1529.0,Echo Canyon Camelback Mountain,2019
2019-01-19,E - PMP - Piestewa Summit Trail,,Piestewa Peak,2019
2019-01-19,N - 25th St. and Acoma-Shadow Mtn N,51.0,Shadow Mountain,2019
2019-01-19,N - Deem Hills - East - 39th Ave TH,165.0,Deem Hills,2019
2019-01-19,N - Deem Hills - West - 51st Ave TH,233.0,Deem Hills,2019
2019-01-19,N - Lookout Mountain - 306 - North Side TH,796.0,Lookout Mountain,2019
2019-01-19,N - North Mountain - 44-Tower Road,0.0,North Mountain Shaw Butte,2019
2019-01-19,South Mountain- Desert Classic Trail,520.0,South Mountain,2019
2019-01-19,South Mountain-620 Trailhead,167.0,South Mountain,2019
2019-01-19,South Mountain-Hau'Pal,,South Mountain,2019
2019-01-19,South Mountain-Holbert Trail,291.0,South Mountain,2019
2019-01-19,South Mountain-Judith Tunell Trail,122.0,South Mountain,2019
2019-01-19,South Mountain-Kiwanis Trail ,,South Mountain,2019
2019-01-19,South Mountain-Ma-Ha-Tuak Perimeter,,South Mountain,2019
